date,hitVal,otherInfo
4/5,False,n/a
4/7,True,n/a
4/9,False,n/a
4/10,True,n/a
4/12,True,n/a
4/14,True,n/a
4/16,True,n/a
4/17,True,n/a
4/19,True,n/a
4/20,False,n/a
4/21,True,n/a
4/24,False,n/a
4/25,True,n/a
4/26,True,n/a
4/27,True,n/a
4/28,True,n/a
4/29,True,n/a
4/30,True,n/a
5/1,False,n/a
5/3,False,n/a
5/4,True,n/a
5/5,False,n/a
5/7,True,n/a
5/8,True,n/a
5/11,True,n/a
5/12,False,n/a
5/14,True,n/a
5/15,False,n/a
5/16,True,n/a
5/17,True,n/a
5/18,True,n/a
5/19,True,n/a
5/20,False,n/a
5/21,True,n/a
5/22,True,n/a
5/23,True,n/a
5/25,False,n/a
5/26,True,n/a
5/27,True,n/a
5/28,True,n/a
5/29,False,n/a
5/31,False,n/a
6/1,True,n/a
6/2,True,n/a
6/4,True,n/a
6/5,True,n/a
6/7,False,n/a
6/8,True,n/a
6/10,True,n/a
6/11,True,n/a
6/12,True,n/a
6/13,False,n/a
6/14,True,n/a
6/15,True,n/a
6/16,True,n/a
6/18,True,n/a
6/19,True,n/a
6/20,True,n/a
6/22,False,n/a
6/23,True,n/a
6/24,False,n/a
6/26,True,n/a
6/27,True,n/a
6/28,True,n/a
6/29,True,n/a
7/1,True,n/a
7/2,True,n/a
7/3,True,n/a
7/16,True,n/a
7/17,False,n/a
7/20,True,n/a
8/21,False,n/a
8/22,True,n/a
8/25,True,n/a
8/26,False,n/a
8/27,True,n/a
8/28,True,n/a
8/29,False,n/a
8/30,True,n/a
8/31,True,n/a
9/3,True,n/a
9/4,True,n/a
9/5,False,n/a
9/6,False,n/a
9/7,False,n/a
9/9,True,n/a
9/10,False,n/a
9/11,True,n/a
9/12,True,n/a
9/14,True,n/a
9/15,True,n/a
9/16,True,n/a
9/18,True,n/a
9/19,True,n/a
9/21,True,n/a
9/22,True,n/a
9/23,True,n/a
9/24,False,n/a
9/25,False,n/a
9/26,False,n/a
9/27,True,n/a
9/28,False,n/a
9/29,True,n/a
9/30,True,n/a
10/1,True,n/a
10/2,True,n/a
